householdId,size,incomeLevel,createdDate
HH000095,1,very_low,2023-10-12
HH000096,1,low,2024-08-18
HH000097,1,low,2023-04-03
HH000098,1,very_low,2022-02-09
HH000099,1,very_low,2022-10-18
HH000100,1,moderate,2024-10-05
HH000101,1,low,2022-12-19
HH000102,1,low,2022-12-23
HH000103,1,low,2022-03-06
HH000104,1,very_low,2024-10-16
HH000105,1,low,2024-05-11
HH000106,1,very_low,2023-11-05
HH000107,1,very_low,2023-08-16
HH000108,1,low,2024-05-05
HH000109,1,low,2023-01-30
HH000110,1,low,2022-08-15
HH000111,1,low,2024-01-05
HH000112,1,low,2024-01-01
HH000113,1,low,2022-03-05
HH000114,1,moderate,2023-01-24
HH000115,1,low,2024-02-06
HH000116,1,low,2023-11-13
HH000117,1,very_low,2023-08-21
HH000118,1,low,2023-06-08
HH000119,1,moderate,2023-05-22
HH000120,1,very_low,2024-09-02
HH000121,1,low,2024-09-17
HH000122,1,low,2023-12-23
HH000123,1,low,2022-08-29
HH000124,1,low,2023-11-23
HH000125,1,moderate,2023-07-06
HH000126,1,low,2023-09-24
HH000127,1,low,2024-10-18
HH000128,1,moderate,2022-06-02
HH000129,1,low,2023-09-08
HH000130,1,low,2024-02-09
HH000131,1,moderate,2023-05-13
HH000132,1,low,2024-08-13
HH000133,1,low,2022-10-24
HH000134,1,low,2022-01-08
HH000135,1,very_low,2022-06-09
HH000136,1,very_low,2024-12-15
HH000137,1,very_low,2024-06-28
HH000138,1,moderate,2023-01-02
HH000139,1,moderate,2023-01-26
HH000140,1,low,2022-01-24
HH000141,1,very_low,2023-05-30
HH000142,1,moderate,2023-01-04
HH000143,1,low,2024-10-20
HH000144,1,moderate,2024-11-30
HH000145,1,moderate,2023-11-07
HH000146,1,moderate,2022-07-06
HH000147,1,very_low,2024-04-04
HH000148,1,low,2022-08-18
HH000149,1,very_low,2022-11-27
HH000150,1,moderate,2024-11-16
HH000151,1,low,2024-10-31
HH000152,1,low,2022-02-26
HH000153,1,moderate,2024-05-13
HH000154,1,moderate,2022-06-10
HH000155,1,moderate,2022-12-06
HH000156,1,low,2022-04-02
HH000157,1,low,2024-09-14
HH000158,1,low,2023-09-05
HH000159,1,moderate,2022-08-25
HH000160,1,very_low,2022-12-03
HH000161,1,very_low,2023-03-01
HH000162,1,low,2024-07-24
HH000163,1,moderate,2023-11-20
HH000164,1,very_low,2022-08-28
HH000165,1,very_low,2023-05-30
HH000166,1,very_low,2024-04-12
HH000167,1,very_low,2023-10-13
HH000168,1,very_low,2024-01-26
HH000169,1,low,2024-04-04
HH000170,1,low,2023-09-29
HH000171,1,low,2024-11-05
HH000172,1,low,2023-12-12
HH000173,1,low,2022-10-21
HH000174,1,low,2024-08-15
HH000175,1,low,2023-02-16
HH000176,1,low,2022-12-05
HH000177,1,very_low,2022-09-28
HH000178,1,low,2023-06-07
HH000179,1,low,2023-12-29
HH000180,1,very_low,2024-07-25
HH000181,1,very_low,2023-06-25
HH000182,1,very_low,2023-02-13
HH000183,1,low,2023-09-30
HH000184,1,low,2023-03-10
HH000185,1,low,2024-02-02
HH000186,1,very_low,2022-03-01
HH000187,1,low,2022-09-10
HH000188,1,low,2023-09-23
HH000189,1,low,2022-09-24
HH000190,1,very_low,2023-03-12
HH000191,1,moderate,2022-07-04
HH000192,1,low,2024-11-02
HH000193,1,moderate,2023-09-13
HH000194,1,moderate,2023-01-26
HH000195,1,low,2024-11-13
HH000196,1,very_low,2023-04-01
HH000197,1,moderate,2022-10-19
HH000198,1,low,2023-11-07
HH000199,1,low,2024-03-26
HH000200,1,very_low,2024-05-21
HH000201,1,very_low,2024-04-22
HH000202,1,very_low,2022-12-11
HH000203,1,moderate,2022-08-21
HH000204,1,low,2024-12-12
HH000205,1,low,2023-10-30
HH000206,1,very_low,2022-03-12
HH000207,1,very_low,2022-08-06
HH000208,1,very_low,2024-04-20
HH000209,1,low,2022-01-27
HH000210,1,low,2022-12-27
HH000211,1,low,2024-11-20
HH000212,1,low,2024-04-02
HH000213,1,moderate,2022-01-26
HH000214,1,low,2023-02-06
HH000215,1,low,2022-09-26
HH000216,1,very_low,2022-02-19
HH000217,1,very_low,2023-04-10
HH000218,1,moderate,2023-08-08
HH000219,1,low,2022-02-19
HH000220,1,moderate,2022-12-24
HH000221,1,low,2022-01-24
HH000222,1,very_low,2024-05-10
HH000223,1,low,2024-10-15
HH000224,1,low,2022-11-25
HH000225,1,low,2023-04-19
HH000226,1,very_low,2024-11-11
HH000227,1,very_low,2023-03-27
HH000228,1,low,2023-11-13
HH000229,1,very_low,2022-06-18
HH000230,1,very_low,2024-07-18
HH000231,1,moderate,2024-07-06
HH000232,1,low,2022-10-12
HH000233,1,low,2024-06-29
HH000234,1,low,2024-10-11
HH000235,1,low,2024-03-21
HH000236,1,low,2024-07-02
HH000237,1,very_low,2022-09-16
HH000238,1,very_low,2022-05-25
HH000239,1,moderate,2023-09-09
HH000240,1,low,2023-10-14
HH000241,1,low,2022-09-20
HH000242,1,low,2023-09-22
HH000243,1,low,2022-08-19
HH000244,1,moderate,2024-07-21
HH000245,1,very_low,2022-12-17
HH000246,1,low,2023-02-26
HH000247,1,moderate,2024-12-01
HH000248,1,low,2023-06-30
HH000249,1,low,2024-11-04
HH000250,1,low,2023-07-03
HH000251,1,low,2023-02-25
HH000252,1,low,2024-06-25
HH000253,1,low,2024-04-17
HH000254,1,moderate,2022-10-30
HH000255,1,very_low,2023-08-29
HH000256,1,moderate,2022-08-16
HH000257,1,very_low,2022-04-06
HH000258,1,low,2022-08-24
HH000259,1,low,2024-06-20
HH000260,1,very_low,2024-08-29
HH000261,1,very_low,2022-02-19
HH000262,1,low,2022-03-20
HH000263,1,low,2023-06-02
HH000264,1,low,2023-01-10
HH000265,1,very_low,2022-01-29
HH000266,1,low,2023-03-08
HH000267,1,moderate,2024-05-31
HH000268,1,low,2023-07-08
HH000269,1,low,2023-04-21
HH000270,1,moderate,2023-10-02
HH000271,1,low,2022-03-09
HH000272,1,moderate,2023-04-09
HH000273,1,very_low,2023-08-01
HH000274,1,low,2022-07-28
HH000275,1,very_low,2024-04-28
HH000276,1,low,2024-09-09
HH000277,1,very_low,2023-03-27
HH000278,1,moderate,2024-01-22
HH000279,1,low,2022-12-25
HH000280,1,moderate,2024-02-18
HH000281,1,low,2023-08-18
HH000282,1,moderate,2022-05-12
HH000283,1,moderate,2024-06-24
HH000284,1,low,2024-12-27
HH000285,1,moderate,2022-02-07
HH000286,1,low,2022-04-09
HH000287,1,very_low,2023-04-10
HH000288,1,low,2022-12-21
HH000289,1,moderate,2022-05-28
HH000290,1,moderate,2022-04-25
HH000291,1,moderate,2024-01-08
HH000292,1,low,2024-08-10
HH000293,1,low,2022-09-14
HH000294,1,low,2024-06-24
HH000295,1,moderate,2022-08-09
HH000296,1,low,2022-03-18
HH000297,1,low,2023-12-07
HH000298,1,moderate,2022-02-26
HH000299,1,low,2024-06-14
HH000300,1,moderate,2024-08-15
HH000301,1,low,2024-01-03
HH000302,1,moderate,2022-12-30
HH000303,1,low,2023-11-12
HH000304,1,low,2022-11-05
HH000305,1,low,2024-07-14
HH000306,1,very_low,2023-01-11
HH000307,1,low,2023-06-05
HH000308,1,moderate,2023-04-27
HH000309,1,very_low,2022-01-24
HH000310,1,low,2024-10-11
HH000311,1,low,2023-04-13
HH000312,1,moderate,2023-09-07
HH000313,1,low,2023-12-06
HH000314,1,very_low,2024-08-12
HH000315,1,low,2024-01-28
HH000316,1,low,2022-10-03
HH000317,1,very_low,2024-10-23
HH000318,1,low,2023-08-12
HH000319,1,moderate,2023-12-08
HH000320,1,low,2023-07-20
HH000321,1,moderate,2024-12-09
HH000322,1,very_low,2024-07-07
HH000323,1,very_low,2023-07-02
HH000324,1,very_low,2022-08-19
HH000325,1,moderate,2023-05-02
HH000326,1,very_low,2023-09-18
HH000327,1,low,2022-08-27
HH000328,1,low,2024-04-14
HH000329,1,very_low,2022-05-18
HH000330,1,low,2024-06-13
HH000331,1,low,2024-02-17
HH000332,1,very_low,2022-11-22
HH000333,1,low,2024-07-04
HH000334,1,very_low,2024-10-04
HH000335,1,low,2023-03-31
HH000336,1,low,2023-10-18
HH000337,1,very_low,2023-07-01
HH000338,1,moderate,2022-09-17
HH000339,1,very_low,2024-12-24
HH000340,1,low,2022-04-26
HH000341,1,moderate,2024-12-09
HH000342,1,low,2024-04-23
HH000343,1,very_low,2023-08-19
HH000344,1,low,2023-04-27
HH000345,1,moderate,2023-10-14
HH000346,1,low,2022-06-09
HH000347,1,moderate,2023-08-29
HH000348,1,very_low,2022-03-21
HH000349,1,very_low,2023-12-12
HH000350,1,very_low,2024-09-09
HH000351,1,low,2022-03-24
HH000352,1,low,2022-08-20
HH000353,1,moderate,2024-12-15
HH000354,1,very_low,2022-04-05
HH000355,1,low,2023-09-10
HH000356,1,very_low,2022-06-23
HH000357,1,very_low,2024-11-08
HH000358,1,low,2024-10-17
HH000359,1,low,2022-12-16
HH000360,1,low,2024-10-22
HH000361,1,very_low,2023-06-05
HH000362,1,very_low,2023-08-09
HH000363,1,moderate,2022-03-18
HH000364,1,low,2024-01-22
HH000365,1,very_low,2023-01-09
HH000366,1,low,2023-01-14
HH000367,1,low,2024-11-11
HH000368,1,very_low,2024-03-17
HH000369,1,low,2022-07-08
HH000370,1,low,2023-03-17
HH000371,1,very_low,2022-09-25
HH000372,1,low,2022-04-05
HH000373,1,low,2023-03-16
HH000374,1,low,2023-07-25
HH000375,1,very_low,2022-03-04
HH000376,1,moderate,2024-05-04
HH000377,1,low,2023-08-02
HH000378,1,moderate,2022-08-13
HH000379,1,very_low,2022-09-10
HH000380,1,low,2022-12-17
HH000381,1,moderate,2024-01-29
HH000382,1,very_low,2024-02-10
HH000383,1,very_low,2022-01-31
HH000384,1,moderate,2024-11-07
HH000385,1,low,2023-12-17
HH000386,1,low,2022-07-23
HH000387,1,low,2022-10-10
HH000388,1,low,2022-07-24
HH000389,1,moderate,2024-08-05
HH000390,1,very_low,2022-05-31
HH000391,1,very_low,2022-02-12
HH000392,1,low,2024-05-27
HH000393,1,very_low,2023-03-19
HH000394,1,low,2022-01-29
HH000395,1,very_low,2024-11-09
HH000396,1,low,2024-02-19
HH000397,1,low,2023-08-26
HH000398,1,low,2023-01-29
HH000399,1,very_low,2023-12-26
HH000400,1,low,2023-07-24
HH000401,1,very_low,2023-03-23
HH000402,1,low,2022-12-20
HH000403,1,low,2023-01-21
HH000404,1,very_low,2023-05-20
HH000405,1,moderate,2022-03-29
HH000406,1,low,2024-04-22
HH000407,1,low,2022-10-26
HH000408,1,low,2022-08-07
HH000409,1,low,2022-10-02
HH000410,1,moderate,2024-03-21
HH000411,1,very_low,2022-04-18
HH000412,1,moderate,2024-04-08
HH000413,1,very_low,2022-11-19
HH000414,1,low,2023-12-19
HH000415,1,very_low,2023-07-16
HH000416,1,very_low,2024-01-20
HH000417,1,low,2022-02-01
HH000418,1,very_low,2023-06-05
HH000419,1,moderate,2024-09-11
HH000420,1,very_low,2023-04-28
HH000421,1,moderate,2023-06-14
HH000422,1,moderate,2024-11-03
HH000423,1,moderate,2024-12-20
HH000424,1,low,2024-04-30
HH000425,1,very_low,2024-09-03
HH000426,1,very_low,2023-07-21
HH000427,1,low,2024-03-27
HH000428,1,very_low,2023-02-01
HH000429,1,low,2023-01-29
HH000430,1,very_low,2023-10-14
HH000431,1,very_low,2022-07-02
HH000432,1,very_low,2024-03-31
HH000433,1,low,2023-11-01
HH000434,1,low,2024-11-19
HH000435,1,moderate,2023-10-19
HH000436,1,low,2023-03-20
HH000437,1,low,2023-02-25
HH000438,1,very_low,2022-10-10
HH000439,1,low,2023-05-24
HH000440,1,very_low,2022-09-16
HH000441,1,low,2023-09-01
HH000442,1,low,2023-10-30
HH000443,1,low,2024-12-11
HH000444,1,low,2022-01-24
HH000445,1,low,2024-12-12
HH000446,1,low,2023-03-07
HH000447,1,low,2023-06-24
HH000448,1,very_low,2022-02-02
HH000449,1,low,2023-03-24
HH000450,1,low,2023-05-19
HH000451,1,low,2024-09-27
HH000452,1,moderate,2024-03-27
HH000453,1,very_low,2022-06-15
HH000454,1,low,2023-10-12
HH000455,1,low,2022-11-25
HH000456,1,low,2022-07-26
HH000457,1,low,2023-05-14
HH000458,1,moderate,2024-12-21
HH000459,1,low,2022-07-09
HH000460,1,low,2023-02-14
HH000461,1,low,2022-03-02
HH000462,1,very_low,2022-07-18
HH000463,1,moderate,2023-03-16
HH000464,1,low,2023-12-25
HH000465,1,low,2022-06-21
HH000466,1,low,2024-04-15
HH000467,1,moderate,2024-12-09
HH000468,1,low,2022-01-06
HH000469,1,moderate,2022-03-10
HH000470,1,low,2024-06-13
HH000471,1,low,2022-09-05
HH000472,1,low,2024-12-04
HH000473,1,moderate,2024-12-10
HH000474,1,low,2022-09-13
HH000475,1,very_low,2024-04-23
HH000476,1,moderate,2024-05-30
HH000477,1,moderate,2022-05-06
HH000478,1,low,2024-11-02
HH000479,1,low,2024-10-15
HH000480,1,moderate,2023-03-06
HH000481,1,very_low,2023-07-29
HH000482,1,low,2024-08-07
HH000483,1,low,2023-01-06
HH000484,1,moderate,2024-03-26
HH000485,1,very_low,2023-11-05
HH000486,1,moderate,2024-07-22
HH000487,1,low,2022-08-13
HH000488,1,moderate,2022-02-01
HH000489,1,moderate,2022-08-09
HH000490,1,moderate,2024-08-14
HH000491,1,low,2023-06-17
HH000492,1,low,2023-05-14
HH000493,1,low,2023-06-20
HH000494,1,low,2024-07-19
HH000495,1,low,2024-07-19
HH000496,1,low,2022-10-16
HH000497,1,very_low,2023-12-02
HH000498,1,low,2022-07-15
HH000499,1,low,2024-02-12
HH000500,1,low,2022-06-02
HH000501,1,moderate,2023-05-26
HH000502,1,moderate,2022-04-20
HH000503,1,low,2022-10-24
HH000504,1,low,2022-05-01
HH000505,1,low,2022-08-08
HH000506,1,very_low,2024-06-27
HH000507,1,low,2024-05-12
HH000508,1,very_low,2024-11-18
HH000509,1,low,2024-10-20
HH000510,1,very_low,2024-11-05
HH000511,1,moderate,2022-06-27
HH000512,1,low,2022-05-01
HH000513,1,moderate,2023-10-25
HH000514,1,low,2023-01-25
HH000515,1,low,2024-12-09
HH000516,1,moderate,2023-11-09
HH000517,1,low,2023-03-02
HH000518,1,low,2023-08-05
HH000519,1,low,2023-12-19
HH000520,1,very_low,2024-03-26
HH000521,1,low,2024-05-27
HH000522,1,low,2022-02-25
HH000523,1,very_low,2022-03-21
HH000524,1,low,2022-07-17
HH000525,1,very_low,2024-04-26
HH000526,1,low,2022-09-16
HH000527,1,moderate,2022-03-08
HH000528,1,low,2023-10-07
HH000529,1,low,2023-09-03
HH000530,1,low,2022-02-20
HH000531,1,low,2022-03-08
HH000532,1,moderate,2024-05-27
HH000533,1,very_low,2024-09-29
HH000534,1,moderate,2024-07-13
HH000535,1,very_low,2023-11-09
HH000536,1,low,2022-08-22
HH000537,1,low,2024-08-28
HH000538,1,moderate,2024-07-26
HH000539,1,low,2022-12-05
HH000540,1,moderate,2022-02-17
HH000541,1,low,2022-02-28
HH000542,1,low,2024-02-14
HH000543,1,very_low,2023-12-28
HH000544,1,low,2024-06-05
HH000545,1,low,2024-11-12
HH000546,1,low,2023-07-14
HH000547,1,moderate,2024-03-30
HH000548,1,very_low,2024-06-07
HH000549,1,moderate,2023-11-05
HH000550,1,low,2024-11-06
HH000551,1,moderate,2022-08-23
HH000552,1,low,2023-01-06
HH000553,1,moderate,2022-01-08
HH000554,1,low,2022-06-29
HH000555,1,low,2024-02-01
HH000556,1,low,2024-11-27
HH000557,1,low,2023-04-01
HH000558,1,low,2024-10-15
HH000559,1,low,2022-06-13
HH000560,1,low,2022-06-16
HH000561,1,very_low,2023-11-05
HH000562,1,low,2023-02-05
HH000563,1,moderate,2022-03-02
HH000564,1,moderate,2023-02-18
HH000565,1,moderate,2022-12-24
HH000566,1,low,2024-04-30
HH000567,1,very_low,2023-10-09
HH000568,1,low,2024-08-12
HH000569,1,moderate,2024-04-09
HH000570,1,low,2022-08-07
HH000571,1,moderate,2023-07-31
HH000572,1,moderate,2023-08-16
HH000573,1,very_low,2024-05-10
HH000574,1,moderate,2022-01-25
HH000575,1,low,2023-12-31
HH000576,1,low,2024-11-14
HH000577,1,low,2023-12-23
HH000578,1,moderate,2022-09-29
HH000579,1,moderate,2023-08-23
HH000580,1,moderate,2023-08-26
HH000581,1,low,2023-06-03
HH000582,1,moderate,2022-11-18
HH000583,1,moderate,2024-01-28
HH000584,1,low,2023-12-04
HH000585,1,low,2022-08-19
HH000586,1,low,2022-02-24
HH000587,1,very_low,2022-05-31
HH000588,1,moderate,2023-02-23
HH000589,1,moderate,2024-10-27
HH000590,1,very_low,2024-07-11
HH000591,1,moderate,2024-02-17
HH000592,1,very_low,2024-12-07
HH000593,1,moderate,2022-12-01
HH000594,1,low,2022-10-29
HH000595,1,low,2022-05-05
HH000596,1,low,2024-04-20
HH000597,1,moderate,2022-10-29
HH000598,1,moderate,2023-11-30
HH000599,1,very_low,2024-03-27
HH000600,1,low,2023-07-02
HH000601,1,low,2023-03-03
HH000602,1,moderate,2022-03-20
HH000603,1,low,2024-08-29
HH000604,1,low,2023-09-15
HH000605,1,very_low,2022-05-07
HH000606,1,low,2024-06-30
HH000607,1,moderate,2022-07-13
HH000608,1,very_low,2023-02-01
HH000609,1,very_low,2024-05-25
HH000610,1,very_low,2024-10-30
HH000611,1,low,2022-11-04
HH000612,1,low,2024-06-18
HH000613,1,moderate,2024-02-15
HH000614,1,moderate,2024-07-07
HH000615,1,low,2023-05-07
HH000616,1,low,2022-10-11
HH000617,1,low,2024-08-05
HH000618,1,low,2024-12-17
HH000619,1,low,2024-01-28
HH000620,1,low,2022-05-23
HH000621,1,very_low,2024-01-23
HH000622,1,low,2024-05-09
HH000623,1,very_low,2022-09-14
HH000624,1,moderate,2022-02-22
HH000625,1,low,2023-05-10
HH000626,1,moderate,2023-03-08
HH000627,1,low,2022-06-26
HH000628,1,low,2022-05-27
HH000629,1,low,2022-03-12
HH000630,1,low,2022-12-29
HH000631,1,low,2022-06-17
HH000632,1,low,2023-05-15
HH000633,1,low,2023-03-31
HH000634,1,low,2022-11-11
HH000635,1,very_low,2024-03-09
HH000636,1,low,2023-06-20
HH000637,1,low,2022-05-02
HH000638,1,low,2022-09-05
HH000639,1,moderate,2022-08-20
HH000640,1,low,2024-05-11
HH000641,1,low,2023-08-02
HH000642,1,moderate,2022-02-26
HH000643,1,low,2023-03-11
HH000644,1,moderate,2023-08-02
HH000645,1,low,2023-09-02
HH000646,1,very_low,2023-03-27
HH000647,1,moderate,2024-06-13
HH000648,1,very_low,2024-06-12
HH000649,1,moderate,2024-06-09
HH000650,1,low,2023-11-10
HH000651,1,very_low,2024-12-26
HH000652,1,low,2024-02-07
HH000653,1,low,2024-06-16
HH000654,1,moderate,2024-08-28
HH000655,1,very_low,2022-07-25
HH000656,1,very_low,2023-04-15
HH000657,1,moderate,2022-04-02
HH000658,1,very_low,2023-11-30
HH000659,1,low,2023-04-09
HH000660,1,low,2024-03-18
HH000661,1,very_low,2023-10-05
HH000662,1,low,2024-09-11
HH000663,1,very_low,2022-05-24
HH000664,1,low,2024-03-27
HH000665,1,low,2024-06-21
HH000666,1,low,2024-10-31
HH000667,1,very_low,2024-07-03
HH000668,1,moderate,2024-08-26
HH000669,1,low,2024-09-23
HH000670,1,moderate,2024-10-16
HH000671,1,very_low,2022-03-24
HH000672,1,low,2023-11-28
HH000673,1,low,2022-07-05
HH000674,1,moderate,2023-09-22
HH000675,1,moderate,2022-12-10
HH000676,1,low,2022-04-04
HH000677,1,low,2023-01-04
HH000678,1,very_low,2024-04-14
HH000679,1,low,2024-03-25
HH000680,1,low,2023-07-01
HH000681,1,low,2022-12-21
HH000682,1,low,2024-04-11
HH000683,1,low,2024-05-01
HH000684,1,very_low,2024-06-04
HH000685,1,low,2024-02-26
HH000686,1,very_low,2023-07-17
HH000687,1,low,2023-10-13
HH000688,1,low,2023-01-29
HH000689,1,low,2022-07-04
HH000690,1,low,2022-05-13
HH000691,1,moderate,2022-07-11
HH000692,1,very_low,2023-01-31
HH000693,1,moderate,2024-12-04
HH000694,1,moderate,2023-08-04
HH000695,1,low,2023-01-11
HH000696,1,very_low,2024-07-14
HH000697,1,low,2022-03-28
HH000698,1,moderate,2022-09-07
HH000699,1,moderate,2024-01-23
HH000700,1,low,2024-05-31
HH000701,1,moderate,2023-05-14
HH000702,1,very_low,2023-04-06
HH000703,1,low,2024-10-14
HH000704,1,low,2024-10-28
HH000705,1,very_low,2022-07-26
HH000706,1,low,2023-01-06
HH000707,1,low,2023-08-04
HH000708,1,low,2023-09-23
HH000709,1,low,2024-02-25
HH000710,1,very_low,2022-03-22
HH000711,1,low,2023-03-17
HH000712,1,low,2022-06-22
HH000713,1,low,2023-10-27
HH000714,1,very_low,2024-12-05
HH000715,1,very_low,2022-04-15
HH000716,1,moderate,2022-11-26
HH000717,1,low,2023-10-13
HH000718,1,low,2022-07-24
HH000719,1,low,2024-04-05
HH000720,1,low,2023-03-26
HH000721,1,low,2022-11-12
HH000722,1,moderate,2023-01-05
HH000723,1,low,2023-06-18
HH000724,1,moderate,2022-06-15
HH000725,1,moderate,2024-10-08
HH000726,1,low,2023-10-27
HH000727,1,moderate,2023-12-02
HH000728,1,moderate,2022-12-17
HH000729,1,low,2024-05-21
HH000730,1,low,2024-08-26
HH000731,1,moderate,2023-03-29
HH000732,1,low,2024-11-02
HH000733,1,low,2022-07-31
HH000734,1,low,2023-08-01
HH000735,1,moderate,2023-06-06
HH000736,1,very_low,2024-03-20
HH000737,1,low,2022-12-29
HH000738,1,very_low,2022-07-27
HH000739,1,low,2023-04-29
HH000740,1,low,2022-05-03
HH000741,1,very_low,2023-08-05
HH000742,1,low,2024-02-07
HH000743,1,low,2023-01-17
HH000744,1,low,2022-05-12
HH000745,1,low,2024-10-08
HH000746,1,low,2022-03-14
HH000747,1,very_low,2023-08-24
HH000748,1,low,2022-10-10
HH000749,1,moderate,2024-10-04
HH000750,1,low,2024-05-05
HH000751,1,low,2023-12-17
HH000752,1,moderate,2023-02-05
HH000753,1,very_low,2024-06-13
HH000754,1,very_low,2024-08-28
HH000755,1,low,2024-01-26
HH000756,1,moderate,2022-05-12
HH000757,1,very_low,2023-03-08
HH000758,1,low,2023-08-02
HH000759,1,very_low,2023-11-06
HH000760,1,moderate,2023-08-21
HH000761,1,low,2022-10-31
HH000762,1,low,2023-01-19
HH000763,1,very_low,2022-07-14
HH000764,1,low,2024-03-10
HH000765,1,very_low,2023-07-11
HH000766,1,very_low,2022-04-07
HH000767,1,moderate,2022-06-25
HH000768,1,low,2023-06-30
HH000769,1,low,2022-02-11
HH000770,1,low,2024-09-21
HH000771,1,moderate,2024-02-24
HH000772,1,very_low,2024-03-31
HH000773,1,moderate,2023-03-16
HH000774,1,moderate,2023-04-08
HH000775,1,low,2023-09-10
HH000776,1,very_low,2023-01-18
HH000777,1,low,2022-02-18
HH000778,1,low,2022-09-22
HH000779,1,moderate,2023-12-03
HH000780,1,low,2024-10-30
HH000781,1,low,2023-09-01
HH000782,1,very_low,2023-06-08
HH000783,1,low,2023-01-18
HH000784,1,moderate,2023-08-10
HH000785,1,moderate,2024-02-01
HH000786,1,low,2023-08-04
HH000787,1,low,2022-04-26
HH000788,1,moderate,2022-05-21
HH000789,1,low,2022-06-11
HH000790,1,low,2022-11-27
HH000791,1,low,2024-04-11
HH000792,1,very_low,2022-11-11
HH000793,1,low,2023-03-20
HH000794,1,very_low,2023-07-19
HH000795,1,moderate,2022-12-18
HH000796,1,moderate,2024-02-21
HH000797,1,very_low,2023-07-22
HH000798,1,low,2022-02-04
HH000799,1,low,2024-05-09
HH000800,1,low,2022-10-11
HH000801,1,low,2022-04-18
HH000802,1,low,2022-11-11
HH000803,1,moderate,2023-03-29
HH000804,1,low,2023-04-14
HH000805,1,moderate,2022-04-23
HH000806,1,low,2022-06-03
HH000807,1,low,2022-08-19
HH000808,1,very_low,2024-06-23
HH000809,1,low,2023-05-01
HH000810,1,low,2024-08-21
HH000811,1,very_low,2024-05-09
HH000812,1,moderate,2024-01-20
HH000813,1,low,2022-03-29
HH000814,1,very_low,2023-05-20
HH000815,1,moderate,2024-02-08
HH000816,1,very_low,2022-11-11
HH000817,1,low,2024-08-28
HH000818,1,moderate,2022-09-30
HH000819,1,moderate,2022-11-23
HH000820,1,very_low,2022-01-29
HH000821,1,very_low,2023-03-05
HH000822,1,low,2024-11-28
HH000823,1,low,2023-06-03
